186728409022332928  ,1448157657583059087 ,0000000000000,0000000000000
226460112867426304  ,1448157657583059087 ,0000000000000,0000000000000
235148962103951360  ,1448157657583059087 ,0000000000000,0000000000000
261665964276449280  ,1448157657583059087 ,0000000000000,0000000000000
269990149348261889  ,1448157657583059087 ,0000000000000,0000000000000
312009569112948751  ,1448157657583059087 ,0000000000000,0000000000000
325422127559999488  ,1451049746679468113 ,0000000000089,0000000000089
428301476029530112  ,1448157657583059087 ,0000000000000,0000000000000
934570941852295208  ,1451021107506315455 ,0000000000005,0000000000005
975141829248958514  ,1451045558050619406 ,0000000000056,0000000000056
994748492482347039  ,1451051984747499603 ,0000000000100,0000000000100
1021197748403445901 ,1448157657583059087 ,0000000000000,0000000000000
1114297428519174174 ,1448157657583059087 ,0000000000000,0000000000000
1241450549010763877 ,1448157657583059087 ,0000000000000,0000000000000
1378106294761951253 ,1448157657583059087 ,0000000000000,0000000000000
1380323054479085648 ,1451320180423655426 ,0000000000284,0000000000284
1432944533947158610 ,1448157657583059087 ,0000000000000,0000000000000
1435459207653752943 ,1448157657583059087 ,0000000000000,0000000000000
1446567839807963147 ,1448157657583059087 ,0000000000000,0000000000000
1015468669586907207 ,1451044506152603648 ,0000000000039,0000000000039
993008413820850347  ,1448157657583059087 ,0000000000000,0000000000000
